text_a,text_b,label
"Driver backs into stroller with child, drives off",La sécurité des enfants en poussette reste une préoccupation majeure dans les zones urbaines.,1
"Stripping out the extraordinary items, fourth-quarter earnings were 64 cents a share compared to 25 cents a share in the prior year.","En excluant les éléments extraordinaires, le bénéfice du quatrième trimestre était de 64 cents par action, contre 25 cents par action l'année précédente.",5
China's Wen promises job creation,La Chine de Wen promet la création d'emplois.,5
Complicating the situation is the presence of battle-hardened Liberians who have been fighting on both sides.,"La guerre civile en Libéria a entraîné une escalade de la violence, impliquant de nombreux combattants expérimentés.",1
A group of people walking on the side of a railroad track.,Des passants marchent le long d'un chemin près de la gare.,2
Two cats sitting together on the sofa looking out the window.,Les chiens dorment tranquillement au pied du lit.,1
A gorilla is playing the drums.,Un chimpanzé joue de la guitare.,1
"He ran last year for the Democratic nomination for Texas governor, but lost the primary to multimillionaire Tony Sanchez.","Il s'est présenté l'année dernière à l'investiture démocrate pour le poste de gouverneur du Texas, mais il a perdu la primaire face au multimillionnaire",5
Indonesia: Six dead in Indonesian volcanic eruption,Indonésie : Cinq personnes ont perdu la vie suite à une éruption volcanique en Indonésie.,4
Three freed in centre abuse probe,Trois personnes libérées lors de l'enquête sur des abus dans un établissement central,4
Champions Trophy: India v South AfricaLive,Trophée des Champions : Inde contre Afrique du Sud en direct,5
Amazon's Bezos buys Washington Post for $250-M,Le Washington Post a été acquis par Jeff Bezos d'Amazon pour 250 millions de dollars.,2
Police fire tear gas to disperse protesters in Tunis,La police lance des gaz lacrymogènes pour disperser les manifestants à Tunis.,5
the us and allies have accused iran of attempting to develop nuclear weapons under the guise of a civilian nuclear program.,La France exprime régulièrement ses préoccupations concernant la prolifération nucléaire dans des régions instables comme le Moyen-Orient.,1
Amazon's Bezos buys Washington Post for $250-M,Le printemps est la saison idéale pour planter des tulipes dans le jardin.,0
Staff writers Selwyn Crawford and Colleen McCain Nelson and Brian Anderson of DallasNews.com contributed to this report.,Des rédacteurs de DallasNews.com ont contribué à ce rapport.,3
Chris Brown concerts cancelled new,Concerts de Chris Brown annulés récemment,5
Facilitator : And why is she the dumb child?,Professeur : Comment peut-on aider les élèves en difficulté à mieux réussir à l'école ?,1
Metropolitan Ambulance spokesman James Howe said five people were taken to hospital and three were treated at the scene after yesterday's incident.,"L'accident de la route a nécessité l'intervention rapide des services d'urgence, qui ont soigné plusieurs blessés sur place.",1
US stocks tumble on third day of shutdown,La Bourse américaine chute pour le troisième jour consécutif.,2
UN Chief: Inspectors need 4 days to conclude probe in Syria,Chef de l'ONU : Les inspecteurs ont besoin de 4 jours pour conclure l'enquête en Syrie.,5
Three NATO soldiers killed in Afghanistan,Quatre soldats de l'OTAN ont perdu la vie en Afghanistan.,4
Staff writers Selwyn Crawford and Colleen McCain Nelson and Brian Anderson of DallasNews.com contributed to this report.,Le ciel était clair et les oiseaux chantaient dans le parc ce matin.,0
A black dog stands next to materials at a construction site.,Un chat blanc est assis près d'un arbre dans un parc.,3
A woman brushes some shrimp.,Le soleil se couche derrière les montagnes.,0
"But White House spokesman Ari Fleischer said yesterday: ""The steps the Iranians claim to have taken in terms of capturing al-Qa'ida are insufficient.""","Mais le porte-parole de la Maison Blanche, Ari Fleischer, a déclaré hier : « Les mesures que les Iraniens prétendent avoir prises pour capturer Al",4
adherence to non-proliferation obligations will enhance mutual trust and foster international cooperation in nuclear energy. ,Les abeilles jouent un rôle crucial dans la pollinisation des plantes et soutiennent la biodiversité de nos écosystèmes.,0
A group of people are wearing bunny ears.,Un groupe de personnes porte des oreilles de lapin.,5
Train pulling into a station.,La gare est bondée de voyageurs qui attendent le prochain train.,2
50 survivors found in Bangladesh factory,Les secours continuent de rechercher des survivants dans l'usine effondrée au Bangladesh.,1
"Stripping out the extraordinary items, fourth-quarter earnings were 64 cents a share compared to 25 cents a share in the prior year.","Après ajustement, le bénéfice du quatrième trimestre était de 64 centimes par action, contre 30 centimes par action l'année précédente.",3
helmand province is the world's largest producer of opium.,La province de Helmand est le plus grand producteur d'opium du monde.,5
German envoy optimistic about Iran-G5+1 talks,L'ambassadeur allemand se montre optimiste quant aux discussions entre l'Iran et le groupe des Six.,2
"india has prohibited direct or indirect export and import of all items, materials, goods and technology that could contribute to iran's nuclear weapons delivery systems.",La France a imposé des restrictions sur l'exportation de technologies susceptibles d'être utilisées dans le développement d'armes nucléaires en Iran.,2
helmand province is the world's largest producer of opium.,La province du Helmand est un important producteur de tapis.,3
"Lawyers and others familiar with the federal investigation say it remains focused on Campbell, though prosecutors declined to discuss the probe.","Le gouvernement continue d'examiner les activités de Campbell, malgré le refus des procureurs de commenter l'affaire.",1
Philippines defers comment on Taiwan fisher attack,La tension monte dans les eaux internationales autour de Taïwan suite à des incidents récents.,1
Chris Brown concerts cancelled new,Les concerts de Chris Brown ont été annulés récemment.,2
Obama takes offensive against Romney in debate,Le chat dort paisiblement sous l'arbre dans le jardin.,0
A passenger train waiting at the city train station.,Les voyageurs montent à bord d'un train express en direction de la capitale.,1
helmand province is the world's largest producer of opium.,La province de Helmand est le principal producteur mondial d'opium.,4
"He ran last year for the Democratic nomination for Texas governor, but lost the primary to multimillionaire Tony Sanchez.","Les élections primaires démocrates au Texas ont souvent attiré des candidats de divers horizons, y compris des entrepreneurs et des politiciens expérimentés.",1
A young boy riding a bike on a brick road,Une petite fille marche avec son chien le long d'une route pavée.,2
a staff of 30 specialists will conduct research and training on cyber warfare.,Une équipe de 35 experts mènera des études et des formations sur la sécurité informatique.,2
Chinese stocks gain at midday Monday,Les actions japonaises reculent à la mi-journée vendredi.,3
"Lawyers and others familiar with the federal investigation say it remains focused on Campbell, though prosecutors declined to discuss the probe.","Les avocats et autres personnes connaissant l'enquête fédérale affirment qu'elle se concentre toujours sur Campbell, bien que les procureurs aient refusé de",4
Amazon's Bezos buys Washington Post for $250-M,"Le patron d'Amazon, Bezos, acquiert le Washington Post pour 250 millions de dollars.",4
"Driver backs into stroller with child, drives off",Les accidents de voiture impliquant des piétons sont en hausse cette année.,1
Metropolitan Ambulance spokesman James Howe said five people were taken to hospital and three were treated at the scene after yesterday's incident.,"Le porte-parole de l'Ambulance Métropolitaine, Jacques Dubois, a indiqué que quatre personnes ont été transportées à l'hôpital et deux ont reçu des",3
Philippines defers comment on Taiwan fisher attack,Les Philippines diffèrent leur commentaire sur l'attaque du pêcheur taïwanais.,5
North Korea conducts third nuclear test,La Corée du Nord réalise son troisième essai nucléaire,5
Two cats sitting together on the sofa looking out the window.,Les chats aiment souvent observer les oiseaux depuis le rebord de la fenêtre.,1
A woman is eating fish at a restaurant.,Une femme mange du poisson dans un restaurant.,5
Cambodian opposition leader Sam Rainsy returns to stir up election,"Le leader de l'opposition cambodgienne, Sam Rainsy, revient pour animer l'élection.",5
"It seemed like an isolated incident,"" said Ariel Dean of Washington D.C., who earned a degree in political science.","Il semblait que ce fût un incident isolé, déclara Ariel Dean de Washington D.C., qui a obtenu un diplôme en sciences politiques.",5
Philippines defers comment on Taiwan fisher attack,Les Philippines retardent leur réponse concernant l'attaque contre un pêcheur taïwanais.,4
helmand province is the world's largest producer of opium.,La province de Helmand est un important producteur de tapis.,3
German envoy optimistic about Iran-G5+1 talks,"Il a plu toute la journée, ce qui a ruiné notre pique-nique.",0
UN Chief: Inspectors need 4 days to conclude probe in Syria,L'ONU demande plus de ressources pour les enquêtes en Syrie.,1
A group of people walking on the side of a railroad track.,Un groupe de personnes marchant sur le côté d'une voie ferrée.,5
Cambodian opposition leader Sam Rainsy returns to stir up election,"Le leader de l'opposition cambodgienne, Sam Rainsy, est en exil et ne peut pas participer aux élections.",3
German envoy optimistic about Iran-G5+1 talks,L'ambassadeur allemand se montre optimiste quant aux discussions entre l'Iran et le G5+1.,4
Chinese stocks gain at midday Monday,Les actions japonaises sont stables lundi matin.,3
A group of people are wearing bunny ears.,Un groupe de personnes porte des oreilles de lapin.,4
A man is cutting a paper.,Le chat dort sur le canapé.,0
Train pulling into a station.,Des voyageurs attendent sur le quai.,1
Obama takes offensive against Romney in debate,Romney se défend face aux attaques d'Obama lors du débat.,2
50 survivors found in Bangladesh factory,40 survivants découverts dans une usine en Inde.,3
Police fire tear gas to disperse protesters in Tunis,Les manifestants se rassemblent à Tunis malgré la présence policière.,2
A man lays on the ground and aims a rifle.,Le ciel ce soir est étonnamment étoilé.,0
China's Wen promises job creation,"La Chine, par la voix de Wen, promet de créer des emplois.",4
a staff of 30 specialists will conduct research and training on cyber warfare.,une équipe de 25 experts mènera des études et des formations sur la guerre informatique.,4
I purport to value human life very highly.,Je crois fermement au respect de chaque existence humaine.,1
The red bus is on the street.,Le bus bleu est dans la rue.,3
Spanish bulls gore seven to death,Sept personnes ont été blessées lors d'une corrida en Espagne.,2
Philippines defers comment on Taiwan fisher attack,Les Philippines reportent leur réponse concernant l'attaque d'un pêcheur taïwanais.,4
Dozens killed in Laos plane crash,De nombreuses familles pleurent après un tragique accident d'avion au Laos.,1
Two boys are skate boarding.,Deux garçons font du vélo.,3
Two boys are skate boarding.,Deux garçons font du skateboard dans le parc.,4
An owl has its wings up and widespread during the day.,Un hibou déploie et étend ses ailes pendant la journée.,5
A man is playing a bamboo flute.,Une femme écoute attentivement le son d'un violon.,1
Dozens killed in Laos plane crash,Des dizaines de personnes ont péri dans un accident d'avion au Laos.,4
An owl has its wings up and widespread during the day.,Un hibou a ses ailes baissées et serrées durant la nuit.,3
Dozens killed in Laos plane crash,Le printemps est la saison idéale pour commencer un jardin potager.,0
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,Le cheikh Doon Salad Ilmi a déclaré que les victimes civiles des attaques de mortiers et de roquettes nocturnes sont admises à l'hô,5
Two boys are skate boarding.,Deux garçons font du skateboard.,5
A man is playing a bamboo flute.,Une femme écoute de la musique jouée à la flûte traversière.,2
Dozens killed in Laos plane crash,Des blessés dans un accident de voiture au Laos,3
A man is playing a bamboo flute.,Un homme joue de la flûte de pan.,4
An owl has its wings up and widespread during the day.,"Les hiboux chassent principalement la nuit, utilisant leur vision et leur ouïe exceptionnelles.",1
A man is playing a bamboo flute.,Le chat dort sur le canapé.,0
Dozens killed in Laos plane crash,Le chat noir dort paisiblement sous l'arbre.,0
An owl has its wings up and widespread during the day.,Un hibou ouvre grandement ses ailes la nuit pour chasser.,2
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,"La forêt amazonienne, souvent appelée le poumon de la planète, abrite une incroyable diversité d'espèces animales et végétales.",0
An owl has its wings up and widespread during the day.,La tarte aux pommes est très appréciée en automne.,0
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,Le cheikh Doon Salad Ilmi a déclaré que des civils blessés lors des attaques de mortiers et de roquettes sont régulièrement admis à l'h,3
A man is playing a bamboo flute.,Un homme joue de la flûte de bambou.,5
Two boys are skate boarding.,Le chat dort sur le canapé.,0
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,Le cheikh Doon Salad Ilmi a déclaré que les victimes civiles résultant des attaques de mortiers et de roquettes nocturnes sont admises à l,5
A man is playing a bamboo flute.,Un homme joue de la flûte en bois.,4
An owl has its wings up and widespread during the day.,Un hibou se perche tranquillement sur une branche la nuit.,3
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,Des victimes civiles des attaques par mortier et roquette sont régulièrement prises en charge à l'hôpital.,2
A man is playing a bamboo flute.,Le chat dort sur le canapé toute la journée.,0
Two boys are skate boarding.,Deux adolescents font du roller dans le parc.,2
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,"Les hôpitaux locaux reçoivent fréquemment des victimes de conflits armés, touchées par des tirs d'artillerie ou des bombardements",1
Dozens killed in Laos plane crash,Plusieurs personnes ont survécu à un accident d'avion au Cambodge.,2
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,"Les hôpitaux locaux reçoivent fréquemment des victimes de conflits armés, y compris des civils blessés lors des affrontements récents",1
A man is playing a bamboo flute.,Un homme joue de la guitare au parc.,2
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,le cheikh Doon Salad Ilmi a déclaré que les victimes civiles des attaques de mortiers et de roquettes nocturnes sont régulièrement admises à,4
Two boys are skate boarding.,Les jeunes aiment faire du skateboard dans le parc.,1
A man is playing a bamboo flute.,Une femme écoute de la musique traditionnelle indienne.,1
An owl has its wings up and widespread during the day.,Un hibou déploie ses ailes largement et les lève pendant la journée.,5
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,Les hôpitaux accueillent régulièrement des civils blessés suite à des attaques de missiles et de mortiers nocturnes.,2
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,le cheikh Doon Salid Ilmi a déclaré que les victimes civiles des attaques de mortiers et de roquettes nocturnes sont régulièrement admises,4
Two boys are skate boarding.,Deux filles font du roller dans le parc.,1
Dozens killed in Laos plane crash,Des centaines de personnes ont survécu à un accident de train au Cambodge.,2
Dozens killed in Laos plane crash,Des enquêteurs sont envoyés sur le lieu d'un crash d'avion au Laos pour déterminer les causes de l'accident.,1
Dozens killed in Laos plane crash,Des dizaines de personnes tuées dans un crash d'avion au Laos,5
Two boys are skate boarding.,Deux enfants font du vélo dans le parc.,2
An owl has its wings up and widespread during the day.,Les hiboux sont connus pour être actifs principalement la nuit.,1
Dozens killed in Laos plane crash,Des blessés dans un accident d'avion au Cambodge,3
An owl has its wings up and widespread during the day.,Un hibou déploie ses ailes sous le soleil couchant.,2
Two boys are skate boarding.,Deux garçons font du skateboard.,4
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,Le chat noir aime se prélasser au soleil pendant que les enfants jouent dans le parc.,0
A man is playing a bamboo flute.,Un homme joue de la guitare.,3
An owl has its wings up and widespread during the day.,Un hibou déploie ses ailes largement pendant la nuit.,4
sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,le cheikh Doon Salad Ilmi a déclaré que les attaques de mortiers nocturnes provoquent des dégâts matériels importants dans la région.,3
A woman cracks two eggs into a glass bowl.,Un homme prépare une omelette avec des œufs frais.,1
SC dismisses govt's review plea in Vodafone tax case,La Cour Suprême a rejeté la demande de révision du gouvernement concernant l'affaire fiscale de Vodafone.,1
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,Elecia Battle a perdu son portefeuille après avoir acheté un billet de loto Mega Millions la semaine dernière et pense que le billet a été emporté par le,4
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.","Les chiens, a-t-il dit, sont juste après les humains en termes de compréhension médicale approfondie et de recherche.",5
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.",Les chats ont également fait l'objet de nombreuses études visant à comprendre leur physiologie et leurs comportements.,1
SC dismisses govt's review plea in Vodafone tax case,Le gouvernement a perdu face à Vodafone dans une affaire de litige fiscal.,1
SC dismisses govt's review plea in Vodafone tax case,La Cour suprême prend en compte la demande de révision du gouvernement dans l'affaire fiscale Vodafone.,3
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,Marc Dupont a perdu son portefeuille la semaine dernière et pense qu'il l'a égaré en achetant son billet de loto.,2
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,Elecia Battle a perdu son portefeuille en achetant un ticket de loto la semaine dernière et pense qu'il a été volé.,3
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.","Les chats, selon elle, bénéficient également d'avancées significatives en matière de soins vétérinaires et de recherches médicales.",1
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.","Les chats, selon lui, bénéficient également d'une attention médicale détaillée bien qu'ils soient moins étudiés que les humains.",2
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.","Les chiens, a-t-il dit, sont seulement devancés par les humains en termes de compréhension et de recherche médicales approfondies.",5
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,"Elecia Battle a perdu son billet de loto hier en sortant du supermarché, et pense qu'il est toujours dans le magasin.",3
Bollywood cuts costs by a third as rupee collapse bites,Bollywood réduit ses dépenses de 30% face à la chute de la roupie,4
A woman cracks two eggs into a glass bowl.,Le chat dort sur le canapé toute la journée.,0
Bollywood cuts costs by a third as rupee collapse bites,Bollywood réduit ses coûts d'un tiers alors que l'effondrement de la roupie se fait sentir.,5
Bollywood cuts costs by a third as rupee collapse bites,Bollywood réduit ses coûts de moitié face à la chute de l'euro.,3
Bollywood cuts costs by a third as rupee collapse bites,Les studios de Bollywood réduisent leurs budgets face à la dévaluation de la roupie.,1
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,Beaucoup de gens rêvent de gagner le gros lot à la loterie pour changer leur vie du jour au lendemain.,1
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.","Les chiens, selon lui, sont parmi les animaux les plus étudiés en médecine vétérinaire après les humains.",2
A woman cracks two eggs into a glass bowl.,Une femme casse deux œufs dans un bol en verre.,5
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,Elecia Battle a laissé tomber son sac à main après avoir acheté un billet de loterie Mega Millions la semaine dernière et pense que le billet s'est envolé,5
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.","Il a dit que les chiens sont très étudiés en médecine, mais pas autant que les humains.",3
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.",Il a mentionné que les chiens sont presque aussi étudiés que les humains en termes de recherches et de compréhension médicale.,4
Bollywood cuts costs by a third as rupee collapse bites,L'industrie de Bollywood réduit ses dépenses en réponse à la dévaluation de la roupie.,2
SC dismisses govt's review plea in Vodafone tax case,La Cour Suprême rejette la demande de révision du gouvernement dans l'affaire fiscale Vodafone.,5
A woman cracks two eggs into a glass bowl.,Le chat dort sous le vieux chêne dans le jardin.,0
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,"La semaine dernière, après avoir acheté un billet de loto Mega Millions, Elecia Battle a perdu son sac à main et pense que le billet a été emporté par",1
A woman cracks two eggs into a glass bowl.,Un homme casse trois œufs dans un bol en métal.,3
A woman cracks two eggs into a glass bowl.,Une femme casse un œuf dans un bol en métal.,3
Bollywood cuts costs by a third as rupee collapse bites,"Le printemps est arrivé, les cerisiers sont en pleine floraison.",0
Bollywood cuts costs by a third as rupee collapse bites,Hollywood réduit ses dépenses de moitié alors que le dollar s'affaiblit.,3
SC dismisses govt's review plea in Vodafone tax case,La Cour suprême rejette la demande de révision du gouvernement dans une affaire fiscale impliquant Google.,3
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.",La tour Eiffel est l'un des monuments les plus visités au monde.,0
Bollywood cuts costs by a third as rupee collapse bites,Les forêts tropicales abritent des milliers d'espèces uniques.,0
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,"Après avoir acheté un billet de loterie EuroMillions la semaine dernière, Julien a perdu son portefeuille en rentrant chez lui.",2
Bollywood cuts costs by a third as rupee collapse bites,Hollywood réduit également ses dépenses en raison de la fluctuation du dollar.,2
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,Elecia Battle a perdu son portefeuille après avoir acheté un ticket de l'EuroMillions la semaine dernière et pense que le ticket s'est envolé.,4
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,La température aujourd'hui est particulièrement agréable pour une promenade dans le parc.,0
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.",Il a mentionné que les chiens sont presque aussi étudiés que les humains en termes de recherche médicale et de compréhension.,4
SC dismisses govt's review plea in Vodafone tax case,Le gouvernement échoue à faire réviser la décision sur les impôts de Vodafone par la Cour suprême.,2
A woman cracks two eggs into a glass bowl.,Un homme casse trois œufs dans un bol en céramique.,2
A woman cracks two eggs into a glass bowl.,Un homme bat des œufs pour faire une omelette.,1
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,Elecia Battle a laissé tomber son sac à main après avoir acheté un ticket de loto Mega Millions la semaine dernière et pense que le ticket s'est envolé.,5
SC dismisses govt's review plea in Vodafone tax case,Les enfants jouent au football dans le parc cet après-midi.,0
SC dismisses govt's review plea in Vodafone tax case,Le printemps est la meilleure saison pour planter des fleurs dans le jardin.,0
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.","Il a dit que les chiens sont très étudiés en médecine, mais pas autant que les chats.",3
Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,Le chat noir se repose tranquillement sous l'arbre dans le jardin ensoleillé.,0
Bollywood cuts costs by a third as rupee collapse bites,L'industrie cinématographique indienne fait face à des défis économiques importants suite à la dévaluation de la roupie.,1
Bollywood cuts costs by a third as rupee collapse bites,Bollywood réduit ses dépenses de 30 % face à la chute de la roupie.,4
A woman cracks two eggs into a glass bowl.,Une femme casse trois œufs dans un bol en céramique.,4
SC dismisses govt's review plea in Vodafone tax case,La Cour suprême rejette la demande de révision du gouvernement dans l'affaire fiscale de Vodafone.,4
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.",Le printemps est la saison idéale pour planter des tomates et des poivrons dans le jardin.,0
Captain of capsized S Korean Ferry Arrested,Le capitaine du ferry sud-coréen qui a chaviré a été arrêté.,4
"Ray Brent Marsh, 29, faces multiple counts of burial service fraud, making false statements, abuse of a dead body and theft.","Ray Brent Marsh, âgé de 30 ans, est accusé de plusieurs chefs d'escroquerie funéraire, de fausses déclarations, de maltraitance envers",4
"In Kentucky, Democratic Attorney General Ben Chandler faces U.S. Rep. Ernie Fletcher.","En France, les débats politiques sont souvent marqués par des affrontements entre le parti socialiste et les républicains.",1
"Ariel Castro sentenced to 1,000 years in prison",Ariel Castro condamné à 999 ans de prison,4
"2 dead, 8 injured in central Israel traffic accident",Les fraises sont très savoureuses en été et se marient bien avec la crème glacée.,0
A dog running through the woods.,Un chien qui court à travers les bois.,5
"Ariel Castro sentenced to 1,000 years in prison",La justice a imposé une lourde peine pour enlèvement et séquestration.,1
A sheep standing on a table at auction.,Un mouton exposé sur une estrade pendant une vente aux enchères.,2
"The Dow Jones industrials climbed more than 140 points to above the 9,000 mark, the first time since December.","Le Dow Jones a chuté de 140 points pour passer sous la barre des 9 000 points, une première depuis décembre.",3
EU Receives 2012 Nobel Peace Prize,Les chats dorment en moyenne quatorze heures par jour.,0
EU Receives 2012 Nobel Peace Prize,L'UE reçoit le prix Nobel de la paix 2012.,5
GOP candidate Romney to call to arm Syrian rebels,Les États-Unis débattent de l'intervention militaire en Syrie.,1
Three children and playing and laughing on the floor.,Trois enfants jouent et rient ensemble dans la chambre.,4
New Zealand legalizes same-sex marriage,Le chat dort sur le canapé.,0
Labor ministry announcement due on Monday,Annonce du ministère du Travail prévue pour mardi,4
China’s new carrier extends military modernization drive,La nouvelle frégate de la Chine poursuit la modernisation de son armée,3
to repeat: They are NOT as sovereign as they were before.,Pour répéter : Ils ne sont plus aussi autonomes qu'avant.,4
GOP candidate Romney to call to arm Syrian rebels,Le candidat républicain Romney envisage de soutenir les rebelles syriens.,2
The doctor was helping the patient.,L'hôpital a reçu beaucoup de malades aujourd'hui.,1
Two cows cross a paved street.,Le ciel est clair et les étoiles brillent ce soir.,0
Man is carrying a tool box down the sidewalk.,Un homme transporte une caisse à outils le long du trottoir.,4
"Earlier, Bashir's supporters had defied a police order and cried ""Allahu Akbar (God is Greatest)"" as he walked to his seat.","Plus tôt, les partisans de Bashir avaient bravé un ordre de la police et crié ",1
"Ariel Castro sentenced to 1,000 years in prison",Ariel Castro condamné à 1 000 ans de prison.,5
Man is carrying a tool box down the sidewalk.,Un homme transporte une boîte à outils sur le trottoir.,5
Captain of capsized S Korean Ferry Arrested,Le capitaine du ferry sud-coréen qui a chaviré a été arrêté.,2
Oil prices rise on hopes for stimulus,Les prix du pétrole augmentent dans l'espoir de mesures de relance.,5
Labor ministry announcement due on Monday,Les syndicats prévoient une grève en réponse aux nouvelles mesures du ministère du Travail.,1
Gunmen kill 10 in Philippine political violence,Des affrontements politiques aux Philippines font plusieurs blessés.,2
Captain of capsized S Korean Ferry Arrested,Le capitaine du ferry sud-coréen qui a chaviré arrêté,5
Labor ministry announcement due on Monday,Annonce du ministère du Travail prévue pour lundi,5
"In Kentucky, Democratic Attorney General Ben Chandler faces U.S. Rep. Ernie Fletcher.",Les montagnes des Alpes sont très populaires pour le ski en hiver.,0
A dog running through the woods.,Les forêts sont souvent des habitats pour de nombreux animaux sauvages.,1
Taliban denies involvement in Boston marathon bombing,Les Talibans nient toute implication dans l'attentat de Paris.,3
A girl wearing a red blouse riding a brown horse.,Une fille avec un chemisier bleu monte un cheval noir.,4
A woman is applying eyeshadow.,Le chat dort sur le canapé.,0
Three children stand on or near a fence.,Trois enfants se tiennent debout sur ou près d'une clôture.,5
Queen visits London soldier attack scene,Le roi inspecte le lieu de l'incident militaire à Paris.,2
Two cows cross a paved street.,Deux vaches traversent une route goudronnée.,4
A man sharpens a pencil using a knife.,Un homme taille un crayon avec un couteau.,5
"2 dead, 8 injured in central Israel traffic accident",Un accident de la route à Tel Aviv a fait plusieurs blessés ce matin.,2
Someone is playing piano.,Quelqu'un joue de la guitare.,2
EU Receives 2012 Nobel Peace Prize,L'Union européenne a été récompensée pour ses efforts de maintien de la paix.,1
Three children stand on or near a fence.,Le ciel ce soir est remarquablement étoilé.,0
'Israeli' arrested in Yemen Mossad spy,La tarte aux pommes est un dessert populaire en France.,0
Investigators probe motives of LAX airport shooter,Le chat dort paisiblement sur le canapé.,0
Three children and playing and laughing on the floor.,Deux enfants jouent et rient dans le jardin.,3
Gunmen kill 10 in Philippine political violence,Des tireurs tuent 11 personnes lors de violences politiques aux Philippines.,4
"In Kentucky, Democratic Attorney General Ben Chandler faces U.S. Rep. Ernie Fletcher.","Au Kentucky, le procureur général démocrate Ben Chandler est confronté au représentant américain Ernie Fletcher.",4
Three children and playing and laughing on the floor.,Deux enfants jouent avec des jouets sur le tapis.,2
Labor ministry announcement due on Monday,Le ministère du Travail publiera un rapport important ce lundi.,1
A woman is applying eyeshadow.,Une femme applique du fard à paupières.,5
A dog running through the woods.,Un chat se promène dans la forêt.,3
Govt. to hold talks with FTII students,Le gouvernement a refusé de dialoguer avec les étudiants de l'FTII.,3
The American Roman Catholic archdiocese of Boston has offered $55 million to settle more than 500 sex abuse lawsuits involving priests.,L'archidiocèse catholique romain de Boston aux États-Unis a proposé 50 millions de dollars pour régler plus de 450 plaintes d'abus,4
"We need a certifiable pay as you go budget by mid-July or schools wont open in September, Strayhorn said.","Nous devons avoir un budget certifié avant la fin juillet sinon les écoles ne pourront pas ouvrir en septembre, a indiqué Strayhorn.",3
"We need a certifiable pay as you go budget by mid-July or schools wont open in September, Strayhorn said.","Nous devons avoir un budget certifié à paiement différé d'ici mi-juillet, sinon les écoles ne pourront pas ouvrir en septembre, a déclaré Stray",4
Man and dog standing on rocks next to water,Homme et chien debout sur des rochers à côté de l'eau,5
Captain of capsized S Korean Ferry Arrested,Capitaine du ferry sud-coréen en détresse secouru,3
"Sobig.F spreads when unsuspecting computer users open file attachments in emails that contain such familiar headings as ""Thank You!,"" ""Re: Details"" or ""Re: That Movie.""",Les virus informatiques peuvent infecter des systèmes entiers simplement par le téléchargement de pièces jointes apparemment inoffensives.,1
